HJ,Points,PV,Points,LJ,Points,TJ,Points
0,0,0,0,0,0,0,0
-,1202,-,1202,-,1202,17.35,1202
-,1201,5.76,1201,8.29,1201,17.34,1201
-,1200,-,1200,-,1200,17.33,1200
-,1199,-,1199,8.28,1199,17.32,1199
-,1198,5.75,1198,-,1198,17.31,1198
2.32,1197,-,1197,8.27,1197,17.3,1197
-,1196,-,1196,-,1196,17.29,1196
-,1195,5.74,1195,-,1195,-,1195
-,1194,-,1194,8.26,1194,17.28,1194
-,1193,-,1193,-,1193,17.27,1193
-,1192,5.73,1192,8.25,1192,17.26,1192
-,1191,-,1191,-,1191,17.25,1191
-,1190,5.72,1190,8.24,1190,17.24,1190
-,1189,-,1189,-,1189,17.23,1189
2.31,1188,-,1188,8.23,1188,17.22,1188
-,1187,5.71,1187,-,1187,17.21,1187
-,1186,-,1186,8.22,1186,17.2,1186
-,1185,-,1185,-,1185,17.19,1185
-,1184,5.7,1184,8.21,1184,17.18,1184
-,1183,-,1183,-,1183,17.17,1183
-,1182,-,1182,-,1182,17.16,1182
-,1181,5.69,1181,8.2,1181,17.15,1181
-,1180,-,1180,-,1180,-,1180
2.3,1179,5.68,1179,8.19,1179,17.14,1179
-,1178,-,1178,-,1178,17.13,1178
-,1177,-,1177,8.18,1177,17.12,1177
-,1176,5.67,1176,-,1176,17.11,1176
-,1175,-,1175,8.17,1175,17.1,1175
-,1174,-,1174,-,1174,17.09,1174
-,1173,5.66,1173,8.16,1173,17.08,1173
-,1172,-,1172,-,1172,17.07,1172
-,1171,5.65,1171,-,1171,17.06,1171
2.29,1170,-,1170,8.15,1170,17.05,1170
-,1169,-,1169,-,1169,17.04,1169
-,1168,5.64,1168,8.14,1168,17.03,1168
-,1167,-,1167,-,1167,17.02,1167
-,1166,-,1166,8.13,1166,17.01,1166
-,1165,5.63,1165,-,1165,17,1165
-,1164,-,1164,8.12,1164,-,1164
-,1163,-,1163,-,1163,16.99,1163
-,1162,5.62,1162,8.11,1162,16.98,1162
2.28,1161,-,1161,-,1161,16.97,1161
-,1160,5.61,1160,8.1,1160,16.96,1160
-,1159,-,1159,-,1159,16.95,1159
-,1158,-,1158,-,1158,16.94,1158
-,1157,5.6,1157,8.09,1157,16.93,1157
-,1156,-,1156,-,1156,16.92,1156
-,1155,-,1155,8.08,1155,16.91,1155
-,1154,5.59,1154,-,1154,16.9,1154
-,1153,-,1153,8.07,1153,16.89,1153
2.27,1152,-,1152,-,1152,16.88,1152
-,1151,5.58,1151,8.06,1151,16.87,1151
-,1150,-,1150,-,1150,16.86,1150
-,1149,5.57,1149,8.05,1149,16.85,1149
-,1148,-,1148,-,1148,-,1148
-,1147,-,1147,-,1147,16.84,1147
-,1146,5.56,1146,8.04,1146,16.83,1146
-,1145,-,1145,-,1145,16.82,1145
-,1144,-,1144,8.03,1144,16.81,1144
